profile,rtt_ms,mode,i,compute_ms,transport_ms,total_ms,label_match,transport_model
mec-edge,10.0,plaintext,8,0.049,10.008,10.057,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,encrypted-cold,8,4075.221,136.42,4211.641,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,encrypted-warm,8,174.636,136.42,311.056,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,plaintext,9,0.032,10.009,10.041,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,encrypted-cold,9,2373.446,136.298,2509.744,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,encrypted-warm,9,102.438,136.298,238.736,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,0,0.773,50.018,50.791,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,0,5810.479,302.688,6113.167,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,0,246.174,302.688,548.862,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,1,0.077,50.016,50.093,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,1,5096.355,302.656,5399.011,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,1,238.141,302.656,540.797,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,2,0.061,50.019,50.079,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,2,5010.516,302.8,5313.316,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,2,234.216,302.8,537.016,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,3,0.052,50.018,50.071,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,3,4952.029,302.64,5254.669,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,3,234.905,302.64,537.545,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,4,0.052,50.016,50.068,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,4,4986.344,302.743,5289.087,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,4,229.034,302.743,531.777,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,5,0.048,50.016,50.064,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,5,4901.02,302.654,5203.674,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,5,224.463,302.654,527.117,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,6,0.054,50.018,50.072,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,6,4908.338,302.789,5211.127,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,6,263.48,302.789,566.269,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,7,0.059,50.016,50.074,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,7,5064.502,302.802,5367.304,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,7,279.317,302.802,582.119,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,8,0.049,50.016,50.065,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,8,4075.221,302.839,4378.06,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,8,174.636,302.839,477.475,1,analytic: rtt + bytes/bandwidth
metro,50.0,plaintext,9,0.032,50.018,50.05,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-cold,9,2373.446,302.597,2676.043,1,analytic: rtt + bytes/bandwidth
metro,50.0,encrypted-warm,9,102.438,302.597,405.035,1,analytic: rtt + bytes/bandwidth
regional,100.0,plaintext,0,0.773,100.036,100.809,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-cold,0,5810.479,605.377,6415.856,1,analytic: rtt + bytes/bandwidth
regional,100.0,encrypted-warm,0,246.174,605.377,851.551,1,analytic: rtt + bytes/bandwidth
